Y,X,scale,angle,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128
193.17,371.13,22.83,1.571,46,13,0,0,0,0,0,10,178,4,0,0,0,0,0,32,162,0,0,0,0,0,0,8,1,0,0,0,2,1,0,0,86,23,0,0,0,0,0,3,178,17,0,0,0,0,0,48,164,3,0,0,0,0,0,24,1,0,0,0,5,0,0,0,93,19,0,0,0,0,0,6,178,62,0,0,0,0,0,38,157,17,0,0,0,0,0,13,1,0,0,2,6,0,0,0,97,7,0,0,0,0,0,20,178,2,0,0,0,0,0,80,95,1,0,2,0,0,0,24,0,0,0,10,3,0,0,0
331.15,543.32,18.86,1.099,15,105,32,1,0,0,0,0,54,92,12,0,0,0,0,5,123,138,0,0,0,1,0,3,140,140,0,0,0,0,0,0,81,19,3,1,3,2,3,18,140,23,1,0,0,0,1,40,59,41,10,1,1,14,11,22,140,140,1,0,0,1,1,1,59,26,2,0,0,0,1,19,123,91,20,0,0,0,0,7,12,60,91,2,0,1,1,1,101,140,12,0,0,0,0,0,9,66,9,0,0,0,0,0,14,110,8,0,0,0,0,0,2,26,20,0,0,0,0,0,1,12,2,0,0,0,0,0
